Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
382377,WHOSIS_000001,WORLDBANKINCOMEGROUP,WB_LI,YEAR,,,SEX,SEX_FMLE,2016,,,,,,,65.2 [64.3-65.9],65.19516,64.25337,65.93106,,2024-08-02T09:43:39.193+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
385039,WHOSIS_000001,COUNTRY,CZE,YEAR,EUR,Europe,SEX,SEX_FMLE,2014,,,,,,,81.6 [81.6-81.7],81.61625,81.58778,81.73528,,2024-08-02T09:43:39.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
385492,WHOSIS_000001,COUNTRY,TLS,YEAR,SEAR,South-East Asia,SEX,SEX_BTSX,2009,,,,,,,66.6 [65.8-67.6],66.64369,65.81736,67.60047,,2024-08-02T09:43:39.193+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
385954,WHOSIS_000001,COUNTRY,DNK,YEAR,EUR,Europe,SEX,SEX_MLE,2020,,,,,,,79.6 [79.5-79.7],79.56241,79.53848,79.65328,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
385958,WHOSIS_000001,COUNTRY,SWZ,YEAR,AFR,Africa,SEX,SEX_BTSX,2002,,,,,,,43.6 [41.9-45.6],43.63858,41.89644,45.63309,,2024-08-02T09:43:39.193+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
386167,WHOSIS_000001,COUNTRY,GNQ,YEAR,AFR,Africa,SEX,SEX_BTSX,2007,,,,,,,58.6 [57.3-60.4],58.62675,57.2934,60.3863,,2024-08-02T09:43:39.193+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
389122,WHOSIS_000001,COUNTRY,MDA,YEAR,EUR,Europe,SEX,SEX_MLE,2002,,,,,,,62.3 [62.0-62.5],62.26598,62.02171,62.50398,,2024-08-02T09:43:39.193+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
389585,WHOSIS_000001,COUNTRY,THA,YEAR,SEAR,South-East Asia,SEX,SEX_FMLE,2004,,,,,,,75.5 [75.1-76.0],75.4965,75.13437,75.99219,,2024-08-02T09:43:39.193+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
389798,WHOSIS_000001,REGION,EMR,YEAR,,,SEX,SEX_MLE,2000,,,,,,,64.1 [63.4-64.8],64.14712,63.40173,64.76751,,2024-08-02T09:43:39.193+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
390235,WHOSIS_000001,COUNTRY,BHR,YEAR,EMR,Eastern Mediterranean,SEX,SEX_MLE,2019,,,,,,,75.4 [75.2-75.7],75.38745,75.15344,75.71874,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
390666,WHOSIS_000001,COUNTRY,CPV,YEAR,AFR,Africa,SEX,SEX_BTSX,2000,,,,,,,71.7 [70.9-72.6],71.69763,70.89112,72.57892,,2024-08-02T09:43:39.193+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
390695,WHOSIS_000001,COUNTRY,MKD,YEAR,EUR,Europe,SEX,SEX_BTSX,2006,,,,,,,73.8 [73.7-74.0],73.82464,73.706,74.02464,,2024-08-02T09:43:39.193+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
393390,WHOSIS_000001,COUNTRY,CAN,YEAR,AMR,Americas,SEX,SEX_BTSX,2009,,,,,,,80.9 [80.9-81.0],80.8826,80.87645,80.9545,,2024-08-02T09:43:39.193+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
393922,WHOSIS_000001,COUNTRY,ISR,YEAR,EUR,Europe,SEX,SEX_BTSX,2007,,,,,,,80.1 [80.1-80.2],80.12301,80.1002,80.21326,,2024-08-02T09:43:39.193+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
394515,WHOSIS_000001,COUNTRY,NLD,YEAR,EUR,Europe,SEX,SEX_BTSX,2013,,,,,,,81.1 [81.1-81.2],81.11694,81.11005,81.19968,,2024-08-02T09:43:39.193+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
395067,WHOSIS_000001,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,SEX_BTSX,2009,,,,,,,67.0 [66.6-67.6],67.04997,66.59368,67.58274,,2024-08-02T09:43:39.193+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
395302,WHOSIS_000001,COUNTRY,DNK,YEAR,EUR,Europe,SEX,SEX_MLE,2018,,,,,,,79.0 [79.0-79.1],79.02368,78.99762,79.12701,,2024-08-02T09:43:39.193+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
