SpatialDim,TimeDim,Obesity,Undernourishment
GBR,2008,22.9,1.4
IND,2016,3.6,19.8
IND,2016,3.6,19.0
IND,2016,3.6,18.2
USA,2002,29.5,1.0
USA,2002,29.5,2.3
USA,2002,29.5,1.7
GBR,2003,21.1,1.4
GBR,2003,21.1,1.8
GBR,2003,21.1,1.0
GBR,1995,16.7,2.3
GBR,1995,16.7,1.1
GBR,1995,16.7,1.7
IND,2018,4.1,16.4
IND,2018,4.1,17.2
IND,2018,4.1,18.0
IND,2005,3.6,28.6
IND,2005,3.6,30.1
IND,2005,3.6,29.3
GBR,2019,25.4,1.6
GBR,2019,25.4,1.4
GBR,2019,25.4,1.7
IND,2004,1.6,31.0
IND,2004,1.6,30.2
IND,2004,1.6,29.4
IND,2009,3.4,24.9
IND,2009,3.4,26.5
IND,2009,3.4,25.7
IND,1995,1.7,37.3
IND,1995,1.7,36.6
IND,1995,1.7,38.1
IND,2019,4.4,16.3
IND,2019,4.4,15.5
IND,2019,4.4,17.2
LKA,2014,3.9,17.1
LKA,2014,3.9,19.3
LKA,2014,3.9,15.2
IND,2012,2.8,22.0
IND,2012,2.8,23.6
IND,2012,2.8,22.8
LKA,1990,1.1,32.8
LKA,1990,1.1,35.3
LKA,1990,1.1,34.0
LKA,2001,1.4,26.5
LKA,2001,1.4,28.6
LKA,2001,1.4,24.5
USA,2016,39.0,1.6
USA,2016,39.0,2.1
USA,2016,39.0,1.1
LKA,2010,3.0,17.7
LKA,2010,3.0,22.0
LKA,2010,3.0,19.8
GBR,1992,11.7,2.0
GBR,1992,11.7,2.7
GBR,1992,11.7,1.2
KEN,2020,5.5,15.4
KEN,2020,5.5,8.4
KEN,2020,5.5,11.9
USA,2000,29.1,2.3
USA,2000,29.1,1.0
USA,2000,29.1,1.7
LKA,1997,1.0,27.6
LKA,1997,1.0,31.1
LKA,1997,1.0,29.3
USA,2007,34.6,2.2
USA,2007,34.6,1.6
USA,2007,34.6,1.0
USA,2019,39.4,2.1
USA,2019,39.4,1.7
USA,2019,39.4,1.2
IND,1990,0.8,41.4
IND,1990,0.8,41.8
IND,1990,0.8,41.0
KEN,2003,2.6,14.3
KEN,2003,2.6,10.9
KEN,2003,2.6,17.8
GBR,2020,27.2,1.7
GBR,2020,27.2,1.5
GBR,2020,27.2,1.6
GBR,1996,17.3,1.7
GBR,1996,17.3,2.2
GBR,1996,17.3,1.1
LKA,2017,7.9,13.5
LKA,2017,7.9,15.4
LKA,2017,7.9,17.5
GBR,1993,13.9,1.2
GBR,1993,13.9,2.5
GBR,1993,13.9,1.9
GBR,1990,11.9,2.2
GBR,1990,11.9,1.3
GBR,1990,11.9,3.0
LKA,2000,3.5,25.3
LKA,2000,3.5,29.2
LKA,2000,3.5,27.2
GBR,2022,26.8,1.8
GBR,2022,26.8,1.7
GBR,2022,26.8,1.7
LKA,1998,1.1,28.7
LKA,1998,1.1,30.5
LKA,1998,1.1,26.8
IND,1990,0.5,41.4
IND,1990,0.5,41.8
IND,1990,0.5,41.0
IND,1998,2.2,35.9
IND,1998,2.2,35.1
IND,1998,2.2,34.3
USA,2020,39.9,1.7
USA,2020,39.9,2.1
USA,2020,39.9,1.3
GBR,2005,22.3,1.0
GBR,2005,22.3,1.8
GBR,2005,22.3,1.4
USA,2017,38.4,1.2
